"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"112850987-112970987",0,NA,NA,NA,NA,NA
"112850987-112975987",0,NA,NA,NA,NA,NA
"112850987-112980987",0,NA,NA,NA,NA,NA
"112850987-112985987",1.5,0.584962500721156,2.36083059881389,0.247778261182758,0.804305975597783,NA
"112850987-112990987",0,NA,NA,NA,NA,NA
"112850987-112995987",0,NA,NA,NA,NA,NA
"112850987-113000987",0,NA,NA,NA,NA,NA
"112850987-113005987",0,NA,NA,NA,NA,NA
"112850987-113010987",0,NA,NA,NA,NA,NA
"112850987-113015987",0,NA,NA,NA,NA,NA
"112850987-113020987",0,NA,NA,NA,NA,NA
"112850987-113025987",0,NA,NA,NA,NA,NA
"112850987-113030987",0,NA,NA,NA,NA,NA
"112850987-113035987",0,NA,NA,NA,NA,NA
"112850987-113040987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112850987-113045987",0,NA,NA,NA,NA,NA
"112850987-113050987",0,NA,NA,NA,NA,NA
"112850987-113055987",1,0,2.37315904673056,0,1,NA
"112850987-113060987",0,NA,NA,NA,NA,NA
"112850987-113065987",0,NA,NA,NA,NA,NA
"112850987-113070987",0,NA,NA,NA,NA,NA
"112850987-113075987",0,NA,NA,NA,NA,NA
"112850987-113080987",0,NA,NA,NA,NA,NA
"112850987-113085987",0,NA,NA,NA,NA,NA
"112850987-113090987",0,NA,NA,NA,NA,NA
"112850987-113095987",0,NA,NA,NA,NA,NA
"112850987-113100987",0,NA,NA,NA,NA,NA
"112850987-113105987",0,NA,NA,NA,NA,NA
"112850987-113110987",0,NA,NA,NA,NA,NA
"112850987-113115987",1,0,2.37315904673056,0,1,NA
"112850987-113120987",0,NA,NA,NA,NA,NA
"112850987-113125987",0,NA,NA,NA,NA,NA
"112850987-113130987",0,NA,NA,NA,NA,NA
"112850987-113135987",0,NA,NA,NA,NA,NA
"112850987-113140987",0,NA,NA,NA,NA,NA
"112850987-113145987",1,0,2.37315904673056,0,1,NA
"112850987-113150987",0,NA,NA,NA,NA,NA
"112850987-113155987",0,NA,NA,NA,NA,NA
"112850987-113160987",0,NA,NA,NA,NA,NA
"112850987-113165987",0,NA,NA,NA,NA,NA
"112850987-113170987",0,NA,NA,NA,NA,NA
"112850987-113175987",0,NA,NA,NA,NA,NA
"112850987-113180987",0,NA,NA,NA,NA,NA
"112850987-113185987",1,0,2.37315904673056,0,1,NA
"112850987-113190987",0,NA,NA,NA,NA,NA
"112850987-113195987",0,NA,NA,NA,NA,NA
"112855987-112735987",0,NA,NA,NA,NA,NA
"112855987-112740987",0,NA,NA,NA,NA,NA
"112855987-112745987",1,0,2.37315904673056,0,1,NA
"112855987-112750987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112855987-112755987",1.5,0.584962500721156,2.59560782631777,0.225366287923013,0.821694335406535,NA
"112855987-112760987",1.5,0.584962500721156,2.59560782631777,0.225366287923013,0.821694335406535,NA
